Number,Date,User,Tweet,Location
31,2023-03-14 14:32:59+00:00,SciDevNet,"An AI tool that monitors water sterility could help prevent cholera and other disease outbreaks following the Turkey-Syria #earthquake if widely adopted, says @MSF. Read our story on this innovative device here: https://t.co/eb9mckKR9w","Wallingford, Oxfordhsire"
32,2023-03-14 13:23:49+00:00,JesuitsBritain,Victims of last month’s #earthquake in Turkey and Syria are still desperate for help. ⁦@FarmStChurch⁩ is holding a fundraising concert on 20th March; ticket details 👇 https://t.co/sbHinDntBt,Britain
33,2023-03-14 12:50:34+00:00,AmCuriousNJ,#Animals in Syria also need much help after the #earthquake there in Syria.,"Hudson County, NJ, USA"
34,2023-03-14 12:13:49+00:00,AmCuriousNJ,"Watch ""Desperate #Kitten #crying for help after the #earthquake happened."" on #YouTube https://t.co/aR4OhY8Gv8 #Animals #Kittens #Cats","Hudson County, NJ, USA"
35,2023-03-14 12:06:47+00:00,BCWildfireHelp,"3-14-2023 | New #earthquake swarm
#FishLakeValleyFaultZone

🎯Similar swarm on exact 2020 date
🗓5 days to #VernalEquinox

⚠️Furnace Creek – Death Valley fault system at CA/NV border could affect #LasVegas and #ClarkCounty metro area, simulation:
https://t.co/R5Gdu2dZbH https://t.co/A0tt4EzReD","West Coast, North America"
36,2023-03-14 11:30:07+00:00,NoVARegion,With many thanks to all who have donated. Please visit https://t.co/mYdWWhJ8rB to make your donation to help the victims of the #earthquake in #Turkey and #Syria. Donations will be used for food distribution. Goal is to distribute 8 tons of food packages to those in need. https://t.co/xSfoNmu1mV,"Fairfax, Virginia"
37,2023-03-14 11:09:18+00:00,NillahT,"@TwBookClub @EllenDa92748267 @luminarepress BOTD is children genre fairy tale yellow eyed ,blue haired dragon called Za. Katie laughed @ after she shared w her sixth grader about oak tree talking to her, her cat Sasha let her know the danger in the open earth #cat,#sasha,#dragons ,#oak,#earthquake ,#help",
38,2023-03-14 10:54:58+00:00,NPA_English,"#UNHCR stresses much more efforts need to be done to support #earthquake survivors in #Syria and #Turkey to help them rebuild their lives again.  

https://t.co/2Fo7k1xmN4",washington
39,2023-03-14 10:50:45+00:00,mediamacaque,"Thanks @dailyecho for interviewing Sarah, one of @React_Response brilliant volunteers, who has just returned from #Turkiye after being deployed to help with the #earthquake relief efforts. @BBCSouthNews","Barnet, London"
40,2023-03-14 07:53:58+00:00,MTVEnglishNews,"UK engineers help #Turkey assess #earthquake damage
https://t.co/ByicJUabBW","Naccache, Lebanon"
41,2023-03-14 07:00:00+00:00,AlArabiya_Eng,"The 15th relief plane from #SaudiArabia departs from King Khalid International Airport, bound for Gaziantep Airport in #Turkey as part of the country's ongoing efforts to help the victims of the devastating #earthquake.

https://t.co/7DruxNjGvw",Dubai
42,2023-03-14 06:49:26+00:00,ewakentmere,"#help for #Syria
#earthquake",The Earth
43,2023-03-14 00:32:00+00:00,RupinderKGill,"#Turkey &amp; #Syria's #earthquake #rescue teams are in need of our help. There are #organisations everywhere you can #donate too if you are willing. Every #donation is saving lives. ❤🙏 🇹🇷

@BritishRedCross
@Unicef
@DECappeal
@Rescue_UK 
@Savechildrenuk 

#TurkeyEarthquake #Turkiye https://t.co/IJ1JzwWYfi","England, United Kingdom"
44,2023-03-14 00:20:57+00:00,BCWildfireHelp,"3-13-2023
#Yellowstone🌋 #earthquake swarm 
Continuing daily activity w/increase today
➡️Link to view all:
https://t.co/jHTlHMslEU https://t.co/DpH9Uuj44I","West Coast, North America"
45,2023-03-13 23:02:50+00:00,SyedFuzailBapu,"Travelling towards #Turkey for #FGRF welfare activities. Our aim is to provide #relief and help to the #earthquake affected vicitms. 

Do Dua for a safe and successful journey. 🤲 https://t.co/C4wSVrNuE7","Birmingham, England"
46,2023-03-13 21:45:04+00:00,USAforIOM,Donate now to help those affected by the #earthquake rebuild their lives: https://t.co/avVKvh9m7z,"Washington, D.C."
47,2023-03-13 21:00:00+00:00,PeninsulaQatar,"The international community and the Syrian govt did not act quickly enough last month to help people in need after a deadly earthquake hit #Turkiye and conflict-ravaged #Syria, a UN-backed commission said on Monday.

#earthquake
https://t.co/4epyJgN4UX",Qatar
48,2023-03-13 19:02:13+00:00,ISRA_UK,ISRA-UK also worked to provide support to #Syrian refugees along the borders of Syria who had been impacted by the #earthquake. To help visit https://t.co/eYhLj97HZp https://t.co/GEA8tyPOAc,Birmingham UK
49,2023-03-13 17:56:33+00:00,KaftVolter,"@tele1comtr #deprem #diyarbakir #sanliurfa #hatay #kahramanmaras #Gaziantep #Osmaniye #adana #ADIYAMAN #Malatya 

#HelpTurkey #earthquake #Erdbeben #землетрясение 
Menschen sterben, Hilfe ist nicht genug
people are dying help is not enough #btc #coin https://t.co/tPthFKEFDg",Anıttepe
50,2023-03-13 17:40:58+00:00,KaftVolter,"#deprem #diyarbakir #sanliurfa #hatay #kahramanmaras #Gaziantep #Osmaniye #adana #ADIYAMAN #Malatya 

#HelpTurkey #earthquake #Erdbeben #землетрясение 
Menschen sterben, Hilfe ist nicht genug
people are dying help is not enough #btc #coin https://t.co/CliIJkB18u",Anıttepe
51,2023-03-13 17:36:12+00:00,KaftVolter,"#deprem #diyarbakir #sanliurfa #hatay #kahramanmaras #Gaziantep #Osmaniye #adana #ADIYAMAN #Malatya 

#HelpTurkey #earthquake #Erdbeben #землетрясение 
Menschen sterben, Hilfe ist nicht genug
people are dying help is not enough #btc #coin https://t.co/dyzg34rV8b",Anıttepe
52,2023-03-13 17:11:33+00:00,HumanityFirstDE,"Big thanks to @AirlinkFlight for generously providing free tickets to our HFD kitchen team, working tirelessly in response to the #Turkiye #Earthquake. Your contribution is making a huge difference in our efforts to help those in need. https://t.co/CZvpPdwVMH","Lautertal (Odenwald), Deutschl"
53,2023-03-13 17:00:02+00:00,hayatyolu_en,"Ramadan is coming📿🕋🌙
Join us to help the underprivileged to receive it💚🌷

To donate via our website:
https://t.co/qAT9Gq4FFy

To donate from outside Turkey: https://t.co/1IZJtIf3Wf

#Turkey #Syria #earthquake #victims #losses #rescue #ruins #kahramanmaraş #Ramadan https://t.co/uwO7IKcI6k","Istanbul, Turkey"
54,2023-03-13 16:51:54+00:00,WHO_Europe,"WHO is in Türkiye for the long haul.

Our staff on the ground tell us their stories.👉Meet Dr Berk, a survivor of the 1999 earthquake, who is now working with @WHO supporting #Türkiye's #earthquake response.

There is still a lot to do.
You can help, too⬇️
https://t.co/D9MOb5LHjS https://t.co/WA8O2B4bxL",Copenhagen
55,2023-03-13 16:23:26+00:00,Paktimestoday,"All means mobilised in Türkiye after powerful quakes: Erdogan

https://t.co/31LhGfbKhV

#pakistantimestoday #turkey #earthquake #support #turkey

#türkiye #help #TurkeyEarthquake #prayforturkey #prayforturkey https://t.co/Due1R2ielp",Pakistan
56,2023-03-13 15:18:41+00:00,SyriaCivilDef,"The #earthquake in #Syria has had a significant and enduring impact, leaving behind massive amounts of rubble. Our work began with the crucial stage of removing this debris  to help communities begin the process of recovery.
📌 Jenderes -  Northern countryside of #Aleppo https://t.co/2GmmETFXJC",Syria
57,2023-03-13 15:18:14+00:00,ExpResRoster,"To truly help others, you must take care of yourself

As UNDP responds to the dire needs of 15.3 million Syrians, @UNDPSyria also engaged #ExpRes Psychosocial Support experts, like Zena Awad, to help staff better cope with the stresses &amp; challenges resulting from the #Earthquake https://t.co/fWayz6JaKu","New York, NY"
58,2023-03-13 15:02:54+00:00,HI_UnitedStates,"We want to take a moment to share our gratitude to The Hello in There Foundation, @FionaPrine, the #JohnPrine family, and their community of supporters for their generous gift to help fund HI's inclusive #earthquake response in the #MiddleEast.

📷T. Nicholson/HI https://t.co/2bPIDghXDa",Action in 60 countries
59,2023-03-13 14:50:53+00:00,bulbulzade,"We are having difficult days. 
This Ramadan, our food tables, our homes are so different. 
but our intention is one.
We are together with what we share. 

You can also send a dinner to our families.  

#earthquake #ramadan #eidramadan #handinhand #help  

https://t.co/puaVZXR9Bu https://t.co/CkFeBnhc8I",Gaziantep
60,2023-03-13 14:46:18+00:00,WHO_Europe,"@WHO is in Türkiye for the long haul.

Our staff on the ground tell us their stories.👉Meet Dr Berk, a survivor of the 1999 earthquake, who is now working with WHO supporting #Türkiye's #earthquake response.

There is still a lot to do.
You can help, too⬇️
https://t.co/up6VIjeNjr https://t.co/h2MHBC7rf7",Copenhagen
61,2023-03-13 13:55:42+00:00,HurrasNetwork,"Maya, 6 yrs, escaped her house and moved to live in a tent with a big crowd of people, which she is never used to.
She misses every single detail of normal life yet she has a big hope!
Help Syrian children affected by the #earthquake: https://t.co/WZiNmnVDI8

#save_well_educated https://t.co/G8kdNQ9N89",syria
62,2023-03-13 11:58:59+00:00,KaftVolter,"#deprem #diyarbakir #sanliurfa #hatay #kahramanmaras #Gaziantep #Osmaniye #adana #ADIYAMAN #Malatya 

#HelpTurkey #earthquake #Erdbeben #землетрясение 
Menschen sterben, Hilfe ist nicht genug
people are dying help is not enough #btc #coin",Anıttepe
63,2023-03-13 11:58:29+00:00,KaftVolter,"#deprem #diyarbakir #sanliurfa #hatay #kahramanmaras #Gaziantep #Osmaniye #adana #ADIYAMAN #Malatya 

#HelpTurkey #earthquake #Erdbeben #землетрясение 
Menschen sterben, Hilfe ist nicht genug
people are dying help is not enough #btc #coin",Anıttepe
64,2023-03-13 11:11:40+00:00,IACharity_UK,"Homes have been destroyed as a result of the Earthquakes.

Please help us rebuild the lives of so many impacted by this.

Donate generously.

https://t.co/fyCrgahbd6 
#TranquilityReliefCampaign #iac #iacuk #donation #turkiye #syrians #aid #deliveringaid #hope #earthquake https://t.co/gq2vynAT3e","Birmingham, England"
65,2023-03-13 10:06:16+00:00,UOSSM,"I flew to Syria and Turkey to help save lives after the #earthquake. The destruction was beyond imagination”
https://t.co/FdCjdWIate https://t.co/wstAxl2Ovl","Paris, France."
66,2023-03-13 09:57:20+00:00,milletworld,Help for #earthquake #victims from #Yassıköy #compatriots https://t.co/NpGBsGPyEj,Greece
